gene	kegg_gene_id	pathway_id	pathway_name
ACBD3	hsa:64746	hsa05132	Salmonella infection - Homo sapiens (human)
ASCC3	hsa:23020	hsa03040	Spliceosome - Homo sapiens (human)
CAB39	hsa:81617	hsa04150	mTOR signaling pathway - Homo sapiens (human)
CAB39	hsa:81617	hsa04152	AMPK signaling pathway - Homo sapiens (human)
CRLS1	hsa:54675	hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)
CRLS1	hsa:54675	hsa01100	Metabolic pathways - Homo sapiens (human)
IDI1	hsa:3422	hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)
IDI1	hsa:3422	hsa01100	Metabolic pathways - Homo sapiens (human)
ITGB1	hsa:3688	hsa03271	Virion - Rotavirus - Homo sapiens (human)
ITGB1	hsa:3688	hsa04015	Rap1 signaling pathway - Homo sapiens (human)
ITGB1	hsa:3688	hsa04145	Phagosome - Homo sapiens (human)
ITGB1	hsa:3688	hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)
ITGB1	hsa:3688	hsa04360	Axon guidance - Homo sapiens (human)
ITGB1	hsa:3688	hsa04510	Focal adhesion - Homo sapiens (human)
ITGB1	hsa:3688	hsa04512	ECM-receptor interaction - Homo sapiens (human)
ITGB1	hsa:3688	hsa04514	Cell adhesion molecules - Homo sapiens (human)
ITGB1	hsa:3688	hsa04530	Tight junction - Homo sapiens (human)
ITGB1	hsa:3688	hsa04611	Platelet activation - Homo sapiens (human)
ITGB1	hsa:3688	hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)
ITGB1	hsa:3688	hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)
ITGB1	hsa:3688	hsa04820	Cytoskeleton in muscle cells - Homo sapiens (human)
ITGB1	hsa:3688	hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)
ITGB1	hsa:3688	hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)
ITGB1	hsa:3688	hsa05131	Shigellosis - Homo sapiens (human)
ITGB1	hsa:3688	hsa05133	Pertussis - Homo sapiens (human)
ITGB1	hsa:3688	hsa05135	Yersinia infection - Homo sapiens (human)
ITGB1	hsa:3688	hsa05140	Leishmaniasis - Homo sapiens (human)
ITGB1	hsa:3688	hsa05145	Toxoplasmosis - Homo sapiens (human)
ITGB1	hsa:3688	hsa05165	Human papillomavirus infection - Homo sapiens (human)
ITGB1	hsa:3688	hsa05200	Pathways in cancer - Homo sapiens (human)
ITGB1	hsa:3688	hsa05205	Proteoglycans in cancer - Homo sapiens (human)
ITGB1	hsa:3688	hsa05222	Small cell lung cancer - Homo sapiens (human)
ITGB1	hsa:3688	hsa05410	Hypertrophic cardiomyopathy - Homo sapiens (human)
ITGB1	hsa:3688	hsa05412	Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)
ITGB1	hsa:3688	hsa05414	Dilated cardiomyopathy - Homo sapiens (human)
LBR	hsa:3930	hsa00100	Steroid biosynthesis - Homo sapiens (human)
LBR	hsa:3930	hsa01100	Metabolic pathways - Homo sapiens (human)
LBR	hsa:3930	hsa04820	Cytoskeleton in muscle cells - Homo sapiens (human)
NUP50	hsa:10762	hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)
NUP50	hsa:10762	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
PPM1A	hsa:5494	hsa04010	MAPK signaling pathway - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04010	MAPK signaling pathway - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04114	Oocyte meiosis - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04150	mTOR signaling pathway - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04714	Thermogenesis - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04720	Long-term potentiation - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04914	Progesterone-mediated oocyte maturation - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04931	Insulin resistance - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa05135	Yersinia infection - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa05207	Chemical carcinogenesis - receptor activation - Homo sapiens (human)
SRSF3	hsa:6428	hsa03040	Spliceosome - Homo sapiens (human)
SRSF3	hsa:6428	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
SRSF3	hsa:6428	hsa05168	Herpes simplex virus 1 infection - Homo sapiens (human)
