gene	kegg_gene_id	pathway_id	pathway_name
CAB39	hsa:81617	hsa04150	mTOR signaling pathway - Homo sapiens (human)
CAB39	hsa:81617	hsa04152	AMPK signaling pathway - Homo sapiens (human)
CNOT6	hsa:57472	hsa03018	RNA degradation - Homo sapiens (human)
CSTF2T	hsa:23283	hsa03015	mRNA surveillance pathway - Homo sapiens (human)
FBN1	hsa:2200	hsa04350	TGF-beta signaling pathway - Homo sapiens (human)
FBN1	hsa:2200	hsa04820	Cytoskeleton in muscle cells - Homo sapiens (human)
LBR	hsa:3930	hsa00100	Steroid biosynthesis - Homo sapiens (human)
LBR	hsa:3930	hsa01100	Metabolic pathways - Homo sapiens (human)
LBR	hsa:3930	hsa04820	Cytoskeleton in muscle cells - Homo sapiens (human)
MOCS2	hsa:4338	hsa00790	Folate biosynthesis - Homo sapiens (human)
MOCS2	hsa:4338	hsa01100	Metabolic pathways - Homo sapiens (human)
MOCS2	hsa:4338	hsa01240	Biosynthesis of cofactors - Homo sapiens (human)
MOCS2	hsa:4338	hsa04122	Sulfur relay system - Homo sapiens (human)
NUDT21	hsa:11051	hsa03015	mRNA surveillance pathway - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa00565	Ether lipid metabolism - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa01100	Metabolic pathways - Homo sapiens (human)
PERP	hsa:57657	hsa04929	GnRH secretion - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04010	MAPK signaling pathway - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04114	Oocyte meiosis - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04150	mTOR signaling pathway - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04714	Thermogenesis - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04720	Long-term potentiation - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04914	Progesterone-mediated oocyte maturation - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa04931	Insulin resistance - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa05135	Yersinia infection - Homo sapiens (human)
RPS6KA3	hsa:6197	hsa05207	Chemical carcinogenesis - receptor activation - Homo sapiens (human)
SLC44A1	hsa:23446	hsa05231	Choline metabolism in cancer - Homo sapiens (human)
SRSF3	hsa:6428	hsa03040	Spliceosome - Homo sapiens (human)
SRSF3	hsa:6428	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
SRSF3	hsa:6428	hsa05168	Herpes simplex virus 1 infection - Homo sapiens (human)
UBE2D3	hsa:7323	hsa03083	Polycomb repressive complex - Homo sapiens (human)
UBE2D3	hsa:7323	hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)
UBE2D3	hsa:7323	hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)
UBE2D3	hsa:7323	hsa05131	Shigellosis - Homo sapiens (human)
