gene	kegg_gene_id	pathway_id	pathway_name
BMI1	hsa:648	hsa03083	Polycomb repressive complex - Homo sapiens (human)
BMI1	hsa:648	hsa04550	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)
BMI1	hsa:648	hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)
BMI1	hsa:648	hsa05206	MicroRNAs in cancer - Homo sapiens (human)
CEBPG	hsa:1054	hsa05152	Tuberculosis - Homo sapiens (human)
CRLS1	hsa:54675	hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)
CRLS1	hsa:54675	hsa01100	Metabolic pathways - Homo sapiens (human)
DKK2	hsa:27123	hsa04310	Wnt signaling pathway - Homo sapiens (human)
DKK2	hsa:27123	hsa05010	Alzheimer disease - Homo sapiens (human)
DKK2	hsa:27123	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
HERC4	hsa:26091	hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)
ITGB1	hsa:3688	hsa03271	Virion - Rotavirus - Homo sapiens (human)
ITGB1	hsa:3688	hsa04015	Rap1 signaling pathway - Homo sapiens (human)
ITGB1	hsa:3688	hsa04145	Phagosome - Homo sapiens (human)
ITGB1	hsa:3688	hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)
ITGB1	hsa:3688	hsa04360	Axon guidance - Homo sapiens (human)
ITGB1	hsa:3688	hsa04510	Focal adhesion - Homo sapiens (human)
ITGB1	hsa:3688	hsa04512	ECM-receptor interaction - Homo sapiens (human)
ITGB1	hsa:3688	hsa04514	Cell adhesion molecules - Homo sapiens (human)
ITGB1	hsa:3688	hsa04530	Tight junction - Homo sapiens (human)
ITGB1	hsa:3688	hsa04611	Platelet activation - Homo sapiens (human)
ITGB1	hsa:3688	hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)
ITGB1	hsa:3688	hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)
ITGB1	hsa:3688	hsa04820	Cytoskeleton in muscle cells - Homo sapiens (human)
ITGB1	hsa:3688	hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)
ITGB1	hsa:3688	hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)
ITGB1	hsa:3688	hsa05131	Shigellosis - Homo sapiens (human)
ITGB1	hsa:3688	hsa05133	Pertussis - Homo sapiens (human)
ITGB1	hsa:3688	hsa05135	Yersinia infection - Homo sapiens (human)
ITGB1	hsa:3688	hsa05140	Leishmaniasis - Homo sapiens (human)
ITGB1	hsa:3688	hsa05145	Toxoplasmosis - Homo sapiens (human)
ITGB1	hsa:3688	hsa05165	Human papillomavirus infection - Homo sapiens (human)
ITGB1	hsa:3688	hsa05200	Pathways in cancer - Homo sapiens (human)
ITGB1	hsa:3688	hsa05205	Proteoglycans in cancer - Homo sapiens (human)
ITGB1	hsa:3688	hsa05222	Small cell lung cancer - Homo sapiens (human)
ITGB1	hsa:3688	hsa05410	Hypertrophic cardiomyopathy - Homo sapiens (human)
ITGB1	hsa:3688	hsa05412	Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)
ITGB1	hsa:3688	hsa05414	Dilated cardiomyopathy - Homo sapiens (human)
LIPA	hsa:1208	hsa04975	Fat digestion and absorption - Homo sapiens (human)
PLOD2	hsa:5352	hsa00310	Lysine degradation - Homo sapiens (human)
PLOD2	hsa:5352	hsa01100	Metabolic pathways - Homo sapiens (human)
SLC19A2	hsa:10560	hsa04977	Vitamin digestion and absorption - Homo sapiens (human)
SLC39A8	hsa:64116	hsa04216	Ferroptosis - Homo sapiens (human)
SLC39A8	hsa:64116	hsa05010	Alzheimer disease - Homo sapiens (human)
SLC39A8	hsa:64116	hsa05012	Parkinson disease - Homo sapiens (human)
SOD2	hsa:6648	hsa04068	FoxO signaling pathway - Homo sapiens (human)
SOD2	hsa:6648	hsa04146	Peroxisome - Homo sapiens (human)
SOD2	hsa:6648	hsa04211	Longevity regulating pathway - Homo sapiens (human)
SOD2	hsa:6648	hsa04213	Longevity regulating pathway - multiple species - Homo sapiens (human)
SOD2	hsa:6648	hsa05016	Huntington disease - Homo sapiens (human)
SOD2	hsa:6648	hsa05208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)
SOD2	hsa:6648	hsa05417	Lipid and atherosclerosis - Homo sapiens (human)
TRAM1	hsa:23471	hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)
