gene	kegg_gene_id	pathway_id	pathway_name
BMI1	hsa:648	hsa03083	Polycomb repressive complex - Homo sapiens (human)
BMI1	hsa:648	hsa04550	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)
BMI1	hsa:648	hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)
BMI1	hsa:648	hsa05206	MicroRNAs in cancer - Homo sapiens (human)
CDC42	hsa:998	hsa04010	MAPK signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04014	Ras signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04015	Rap1 signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04062	Chemokine signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04144	Endocytosis - Homo sapiens (human)
CDC42	hsa:998	hsa04360	Axon guidance - Homo sapiens (human)
CDC42	hsa:998	hsa04370	VEGF signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04510	Focal adhesion - Homo sapiens (human)
CDC42	hsa:998	hsa04520	Adherens junction - Homo sapiens (human)
CDC42	hsa:998	hsa04530	Tight junction - Homo sapiens (human)
CDC42	hsa:998	hsa04660	T cell receptor signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04666	Fc gamma R-mediated phagocytosis - Homo sapiens (human)
CDC42	hsa:998	hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)
CDC42	hsa:998	hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)
CDC42	hsa:998	hsa04912	GnRH signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04932	Non-alcoholic fatty liver disease - Homo sapiens (human)
CDC42	hsa:998	hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)
CDC42	hsa:998	hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)
CDC42	hsa:998	hsa05120	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)
CDC42	hsa:998	hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)
CDC42	hsa:998	hsa05131	Shigellosis - Homo sapiens (human)
CDC42	hsa:998	hsa05132	Salmonella infection - Homo sapiens (human)
CDC42	hsa:998	hsa05135	Yersinia infection - Homo sapiens (human)
CDC42	hsa:998	hsa05165	Human papillomavirus infection - Homo sapiens (human)
CDC42	hsa:998	hsa05200	Pathways in cancer - Homo sapiens (human)
CDC42	hsa:998	hsa05203	Viral carcinogenesis - Homo sapiens (human)
CDC42	hsa:998	hsa05205	Proteoglycans in cancer - Homo sapiens (human)
CDC42	hsa:998	hsa05211	Renal cell carcinoma - Homo sapiens (human)
CDC42	hsa:998	hsa05212	Pancreatic cancer - Homo sapiens (human)
CDC42	hsa:998	hsa05417	Lipid and atherosclerosis - Homo sapiens (human)
CEBPG	hsa:1054	hsa05152	Tuberculosis - Homo sapiens (human)
DKK2	hsa:27123	hsa04310	Wnt signaling pathway - Homo sapiens (human)
DKK2	hsa:27123	hsa05010	Alzheimer disease - Homo sapiens (human)
DKK2	hsa:27123	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
HERC4	hsa:26091	hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)
IDI1	hsa:3422	hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)
IDI1	hsa:3422	hsa01100	Metabolic pathways - Homo sapiens (human)
ITGB1	hsa:3688	hsa03271	Virion - Rotavirus - Homo sapiens (human)
ITGB1	hsa:3688	hsa04015	Rap1 signaling pathway - Homo sapiens (human)
ITGB1	hsa:3688	hsa04145	Phagosome - Homo sapiens (human)
ITGB1	hsa:3688	hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)
ITGB1	hsa:3688	hsa04360	Axon guidance - Homo sapiens (human)
ITGB1	hsa:3688	hsa04510	Focal adhesion - Homo sapiens (human)
ITGB1	hsa:3688	hsa04512	ECM-receptor interaction - Homo sapiens (human)
ITGB1	hsa:3688	hsa04514	Cell adhesion molecules - Homo sapiens (human)
ITGB1	hsa:3688	hsa04530	Tight junction - Homo sapiens (human)
ITGB1	hsa:3688	hsa04611	Platelet activation - Homo sapiens (human)
ITGB1	hsa:3688	hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)
ITGB1	hsa:3688	hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)
ITGB1	hsa:3688	hsa04820	Cytoskeleton in muscle cells - Homo sapiens (human)
ITGB1	hsa:3688	hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)
ITGB1	hsa:3688	hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)
ITGB1	hsa:3688	hsa05131	Shigellosis - Homo sapiens (human)
