gene	kegg_gene_id	pathway_id	pathway_name
B3GALNT2	hsa:148789	hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)
B3GALNT2	hsa:148789	hsa01100	Metabolic pathways - Homo sapiens (human)
C9orf72	hsa:203228	hsa04140	Autophagy - animal - Homo sapiens (human)
C9orf72	hsa:203228	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
C9orf72	hsa:203228	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
CDC42	hsa:998	hsa04010	MAPK signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04014	Ras signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04015	Rap1 signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04062	Chemokine signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04144	Endocytosis - Homo sapiens (human)
CDC42	hsa:998	hsa04360	Axon guidance - Homo sapiens (human)
CDC42	hsa:998	hsa04370	VEGF signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04510	Focal adhesion - Homo sapiens (human)
CDC42	hsa:998	hsa04520	Adherens junction - Homo sapiens (human)
CDC42	hsa:998	hsa04530	Tight junction - Homo sapiens (human)
CDC42	hsa:998	hsa04660	T cell receptor signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04666	Fc gamma R-mediated phagocytosis - Homo sapiens (human)
CDC42	hsa:998	hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)
CDC42	hsa:998	hsa04722	Neurotrophin signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04810	Regulation of actin cytoskeleton - Homo sapiens (human)
CDC42	hsa:998	hsa04912	GnRH signaling pathway - Homo sapiens (human)
CDC42	hsa:998	hsa04932	Non-alcoholic fatty liver disease - Homo sapiens (human)
CDC42	hsa:998	hsa04933	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)
CDC42	hsa:998	hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)
CDC42	hsa:998	hsa05120	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)
CDC42	hsa:998	hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)
CDC42	hsa:998	hsa05131	Shigellosis - Homo sapiens (human)
CDC42	hsa:998	hsa05132	Salmonella infection - Homo sapiens (human)
CDC42	hsa:998	hsa05135	Yersinia infection - Homo sapiens (human)
CDC42	hsa:998	hsa05165	Human papillomavirus infection - Homo sapiens (human)
CDC42	hsa:998	hsa05200	Pathways in cancer - Homo sapiens (human)
CDC42	hsa:998	hsa05203	Viral carcinogenesis - Homo sapiens (human)
CDC42	hsa:998	hsa05205	Proteoglycans in cancer - Homo sapiens (human)
CDC42	hsa:998	hsa05211	Renal cell carcinoma - Homo sapiens (human)
CDC42	hsa:998	hsa05212	Pancreatic cancer - Homo sapiens (human)
CDC42	hsa:998	hsa05417	Lipid and atherosclerosis - Homo sapiens (human)
CEBPG	hsa:1054	hsa05152	Tuberculosis - Homo sapiens (human)
ELOVL4	hsa:6785	hsa00062	Fatty acid elongation - Homo sapiens (human)
ELOVL4	hsa:6785	hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)
ELOVL4	hsa:6785	hsa01100	Metabolic pathways - Homo sapiens (human)
ELOVL4	hsa:6785	hsa01212	Fatty acid metabolism - Homo sapiens (human)
ELOVL4	hsa:6785	hsa04382	Cornified envelope formation - Homo sapiens (human)
HERC4	hsa:26091	hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)
MAGT1	hsa:7991	hsa00510	N-Glycan biosynthesis - Homo sapiens (human)
MAGT1	hsa:7991	hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)
MAGT1	hsa:7991	hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)
NIPA2	hsa:729359	hsa03320	PPAR signaling pathway - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa00565	Ether lipid metabolism - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa01100	Metabolic pathways - Homo sapiens (human)
PPM1A	hsa:5494	hsa04010	MAPK signaling pathway - Homo sapiens (human)
SEH1L	hsa:81929	hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)
SEH1L	hsa:81929	hsa04150	mTOR signaling pathway - Homo sapiens (human)
SEH1L	hsa:81929	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
SLC19A2	hsa:10560	hsa04977	Vitamin digestion and absorption - Homo sapiens (human)
SOD2	hsa:6648	hsa04068	FoxO signaling pathway - Homo sapiens (human)
SOD2	hsa:6648	hsa04146	Peroxisome - Homo sapiens (human)
SOD2	hsa:6648	hsa04211	Longevity regulating pathway - Homo sapiens (human)
SOD2	hsa:6648	hsa04213	Longevity regulating pathway - multiple species - Homo sapiens (human)
SOD2	hsa:6648	hsa05016	Huntington disease - Homo sapiens (human)
SOD2	hsa:6648	hsa05208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)
SOD2	hsa:6648	hsa05417	Lipid and atherosclerosis - Homo sapiens (human)
TOMM70	hsa:9868	hsa04137	Mitophagy - animal - Homo sapiens (human)
VPS4B	hsa:9525	hsa03250	Viral life cycle - HIV-1 - Homo sapiens (human)
VPS4B	hsa:9525	hsa03272	Virion - Hepatitis viruses - Homo sapiens (human)
VPS4B	hsa:9525	hsa04144	Endocytosis - Homo sapiens (human)
VPS4B	hsa:9525	hsa04217	Necroptosis - Homo sapiens (human)
