lncrna,mrna,Decision_Tree(%),K-Nearest-Neighbours(%),Random_Forest(%),LightGBM(%),Cumulative_Model_Score(%),avg_score,models_ge80
TCONS_00063517,ENST00000331173.6,99.09,100.0,95.15,89.9,100.0,96.035,4
TCONS_00063517,ENST00000492996.6,99.09,100.0,92.31,89.9,100.0,95.32499999999999,4
TCONS_00063517,ENST00000896544.1,99.09,100.0,92.23,89.9,100.0,95.305,4
TCONS_00063517,ENST00000343004.10,99.09,100.0,92.23,89.9,100.0,95.305,4
TCONS_00063517,ENST00000896545.1,99.09,100.0,92.23,89.9,100.0,95.305,4
TCONS_00063517,ENST00000896543.1,99.09,100.0,92.22,89.9,100.0,95.30250000000001,4
TCONS_00063517,ENST00000903191.1,99.09,100.0,92.11,89.9,100.0,95.275,4
TCONS_00063517,ENST00000691214.1,99.3,100.0,90.45,91.28,100.0,95.2575,4
TCONS_00063517,ENST00000692108.1,99.3,100.0,90.41,91.28,100.0,95.2475,4
TCONS_00063517,ENST00000857075.1,99.3,100.0,90.41,91.28,100.0,95.2475,4
TCONS_00063517,ENST00000343028.9,99.09,100.0,91.92,89.9,100.0,95.22749999999999,4
TCONS_00063517,ENST00000689517.1,99.3,100.0,90.23,91.28,100.0,95.20250000000001,4
TCONS_00063517,ENST00000674173.1,99.09,100.0,91.76,89.9,100.0,95.1875,4
TCONS_00063517,ENST00000674289.1,99.09,100.0,91.76,89.9,100.0,95.1875,4
TCONS_00063517,ENST00000690137.1,99.3,100.0,90.15,91.28,100.0,95.1825,4
TCONS_00063517,ENST00000687593.1,99.3,100.0,90.13,91.28,100.0,95.17750000000001,4
TCONS_00063517,ENST00000920825.1,99.09,100.0,91.7,89.9,100.0,95.17250000000001,4
TCONS_00063517,ENST00000943061.1,99.3,100.0,90.09,91.28,100.0,95.16749999999999,4
TCONS_00063517,ENST00000691111.1,99.3,100.0,90.09,91.28,100.0,95.16749999999999,4
TCONS_00063517,ENST00000685491.1,99.3,100.0,90.09,91.28,100.0,95.16749999999999,4
TCONS_00063517,ENST00000857074.1,99.3,100.0,90.09,91.28,100.0,95.16749999999999,4
TCONS_00063517,ENST00000893395.1,99.3,100.0,89.93,91.28,100.0,95.1275,4
TCONS_00063517,ENST00000921002.1,99.09,100.0,91.49,89.9,100.0,95.12,4
TCONS_00063517,ENST00000928788.1,99.09,100.0,91.42,89.9,100.0,95.10249999999999,4
TCONS_00063517,ENST00000686086.1,99.3,100.0,89.8,91.28,100.0,95.095,4
TCONS_00063517,ENST00000272091.8,99.09,100.0,91.36,89.9,100.0,95.0875,4
TCONS_00063517,ENST00000685047.1,99.09,100.0,91.31,89.9,100.0,95.07499999999999,4
TCONS_00063517,ENST00000262124.15,99.09,100.0,91.3,89.9,100.0,95.07249999999999,4
TCONS_00063517,ENST00000436547.7,99.09,100.0,91.3,89.9,100.0,95.07249999999999,4
TCONS_00063517,ENST00000968506.1,99.09,100.0,89.91,91.28,100.0,95.07,4
TCONS_00063517,ENST00000920822.1,99.09,100.0,91.27,89.9,100.0,95.065,4
TCONS_00063517,ENST00000920823.1,99.09,100.0,91.27,89.9,100.0,95.065,4
TCONS_00063517,ENST00000928783.1,99.09,100.0,91.24,89.9,100.0,95.0575,4
TCONS_00063517,ENST00000527958.6,99.09,100.0,91.24,89.9,100.0,95.0575,4
TCONS_00063517,ENST00000928784.1,99.09,100.0,91.24,89.9,100.0,95.0575,4
TCONS_00063517,ENST00000692015.1,99.09,100.0,91.12,90.0,100.0,95.05250000000001,4
TCONS_00063517,ENST00000929967.1,99.09,100.0,91.11,90.0,100.0,95.05,4
TCONS_00063517,ENST00000856697.1,99.09,100.0,91.09,90.0,100.0,95.045,4
TCONS_00063517,ENST00000948781.1,99.09,100.0,91.09,90.0,100.0,95.045,4
TCONS_00063517,ENST00000859039.1,99.09,100.0,91.15,89.9,100.0,95.035,4
TCONS_00063517,ENST00000703767.1,99.09,100.0,91.15,89.9,100.0,95.035,4
TCONS_00063517,ENST00000952523.1,99.09,100.0,91.14,89.9,100.0,95.0325,4
TCONS_00063517,ENST00000962255.1,99.09,100.0,91.04,90.0,100.0,95.0325,4
TCONS_00063517,ENST00000962254.1,99.09,100.0,91.04,90.0,100.0,95.0325,4
TCONS_00063517,ENST00000963915.1,99.09,100.0,91.14,89.9,100.0,95.0325,4
TCONS_00063517,ENST00000681380.1,99.09,100.0,91.14,89.9,100.0,95.0325,4
TCONS_00063517,ENST00000679872.1,99.09,100.0,91.14,89.9,100.0,95.0325,4
TCONS_00063517,ENST00000867486.1,99.09,100.0,91.14,89.9,100.0,95.0325,4
TCONS_00063517,ENST00000908818.1,99.09,100.0,91.11,89.9,100.0,95.025,4
TCONS_00063517,ENST00000338056.7,99.09,100.0,91.1,89.9,100.0,95.02250000000001,4
