gene	kegg_gene_id	pathway_id	pathway_name
B3GALNT2	hsa:148789	hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)
B3GALNT2	hsa:148789	hsa01100	Metabolic pathways - Homo sapiens (human)
C9orf72	hsa:203228	hsa04140	Autophagy - animal - Homo sapiens (human)
C9orf72	hsa:203228	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
C9orf72	hsa:203228	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
CEBPG	hsa:1054	hsa05152	Tuberculosis - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa03008	Ribosome biogenesis in eukaryotes - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa04064	NF-kappa B signaling pathway - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa04137	Mitophagy - animal - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa04310	Wnt signaling pathway - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa04520	Adherens junction - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa05010	Alzheimer disease - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa05020	Prion disease - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa05162	Measles - Homo sapiens (human)
CSNK2A1	hsa:1459	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)
ELOVL4	hsa:6785	hsa00062	Fatty acid elongation - Homo sapiens (human)
ELOVL4	hsa:6785	hsa01040	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)
ELOVL4	hsa:6785	hsa01100	Metabolic pathways - Homo sapiens (human)
ELOVL4	hsa:6785	hsa01212	Fatty acid metabolism - Homo sapiens (human)
ELOVL4	hsa:6785	hsa04382	Cornified envelope formation - Homo sapiens (human)
HERC4	hsa:26091	hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)
LSM6	hsa:11157	hsa03018	RNA degradation - Homo sapiens (human)
LSM6	hsa:11157	hsa03040	Spliceosome - Homo sapiens (human)
MAGT1	hsa:7991	hsa00510	N-Glycan biosynthesis - Homo sapiens (human)
MAGT1	hsa:7991	hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)
MAGT1	hsa:7991	hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)
MGAT4A	hsa:11320	hsa00510	N-Glycan biosynthesis - Homo sapiens (human)
MGAT4A	hsa:11320	hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)
MGAT4A	hsa:11320	hsa01100	Metabolic pathways - Homo sapiens (human)
NIPA2	hsa:729359	hsa03320	PPAR signaling pathway - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa00565	Ether lipid metabolism - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa01100	Metabolic pathways - Homo sapiens (human)
PHF6	hsa:84295	hsa03082	ATP-dependent chromatin remodeling - Homo sapiens (human)
PPM1A	hsa:5494	hsa04010	MAPK signaling pathway - Homo sapiens (human)
PRKAR1A	hsa:5573	hsa04910	Insulin signaling pathway - Homo sapiens (human)
SAMD8	hsa:142891	hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)
SAMD8	hsa:142891	hsa00600	Sphingolipid metabolism - Homo sapiens (human)
SEH1L	hsa:81929	hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)
SEH1L	hsa:81929	hsa04150	mTOR signaling pathway - Homo sapiens (human)
SEH1L	hsa:81929	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
SLC19A2	hsa:10560	hsa04977	Vitamin digestion and absorption - Homo sapiens (human)
SOAT1	hsa:6646	hsa00100	Steroid biosynthesis - Homo sapiens (human)
SOAT1	hsa:6646	hsa04979	Cholesterol metabolism - Homo sapiens (human)
SOD2	hsa:6648	hsa04068	FoxO signaling pathway - Homo sapiens (human)
SOD2	hsa:6648	hsa04146	Peroxisome - Homo sapiens (human)
SOD2	hsa:6648	hsa04211	Longevity regulating pathway - Homo sapiens (human)
SOD2	hsa:6648	hsa04213	Longevity regulating pathway - multiple species - Homo sapiens (human)
SOD2	hsa:6648	hsa05016	Huntington disease - Homo sapiens (human)
SOD2	hsa:6648	hsa05208	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)
SOD2	hsa:6648	hsa05417	Lipid and atherosclerosis - Homo sapiens (human)
TMEM33	hsa:55161	hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)
