lncrna,mrna,Decision_Tree(%),K-Nearest-Neighbours(%),Random_Forest(%),LightGBM(%),Cumulative_Model_Score(%),avg_score,models_ge80
TCONS_00161805,ENST00000421351.4,99.09,100.0,90.97,90.0,100.0,95.015,4
TCONS_00161805,ENST00000688455.1,99.3,100.0,88.01,91.28,100.0,94.64750000000001,4
TCONS_00161805,ENST00000709446.2,99.09,100.0,89.27,90.0,100.0,94.59,4
TCONS_00161805,ENST00000365779.2,99.09,100.0,89.14,90.0,100.0,94.5575,4
TCONS_00161805,ENST00000405844.6,99.09,100.0,89.0,90.0,100.0,94.52250000000001,4
TCONS_00161805,ENST00000437473.6,99.09,100.0,88.67,90.0,100.0,94.44,4
TCONS_00161805,ENST00000244869.3,99.09,100.0,88.65,90.0,100.0,94.435,4
TCONS_00161805,ENST00000684279.1,99.09,100.0,88.11,90.0,100.0,94.3,4
TCONS_00161805,ENST00000405764.7,99.09,100.0,87.97,90.0,100.0,94.265,4
TCONS_00161805,ENST00000713856.1,99.09,100.0,87.96,90.0,100.0,94.2625,4
TCONS_00161805,ENST00000860115.1,99.09,100.0,87.81,90.0,100.0,94.225,4
TCONS_00161805,ENST00000370021.1,99.3,100.0,86.3,91.28,100.0,94.22,4
TCONS_00161805,ENST00000373237.4,99.09,100.0,87.74,90.0,100.0,94.2075,4
TCONS_00161805,ENST00000646638.1,99.3,100.0,86.22,91.28,100.0,94.19999999999999,4
TCONS_00161805,ENST00000399703.6,99.3,100.0,86.22,91.28,100.0,94.19999999999999,4
TCONS_00161805,ENST00000865025.1,99.3,100.0,86.11,91.28,100.0,94.17250000000001,4
TCONS_00161805,ENST00000954077.1,99.3,100.0,86.08,91.28,100.0,94.16499999999999,4
TCONS_00161805,ENST00000904682.1,99.09,100.0,87.56,90.0,100.0,94.1625,4
TCONS_00161805,ENST00000679708.1,99.3,100.0,86.03,91.28,100.0,94.1525,4
TCONS_00161805,ENST00000414552.6,99.09,100.0,87.33,90.0,100.0,94.105,4
TCONS_00161805,ENST00000943425.1,99.09,100.0,87.28,90.03,100.0,94.1,4
TCONS_00161805,ENST00000919746.1,99.09,100.0,87.28,90.0,100.0,94.0925,4
TCONS_00161805,ENST00000713857.1,99.09,100.0,87.22,90.0,100.0,94.0775,4
TCONS_00161805,ENST00000878447.1,99.09,100.0,87.17,90.0,100.0,94.065,4
TCONS_00161805,ENST00000922083.1,99.09,100.0,87.15,90.0,100.0,94.06,4
TCONS_00161805,ENST00000920002.1,99.09,100.0,87.14,90.0,100.0,94.0575,4
TCONS_00161805,ENST00000688396.1,99.3,100.0,85.45,91.28,100.0,94.0075,4
TCONS_00161805,ENST00000371122.8,99.3,100.0,85.42,91.28,100.0,94.0,4
TCONS_00161805,ENST00000857662.1,99.09,100.0,86.9,90.0,100.0,93.9975,4
TCONS_00161805,ENST00000950301.1,99.3,100.0,85.4,91.28,100.0,93.995,4
TCONS_00161805,ENST00000943443.1,99.09,100.0,86.77,90.0,100.0,93.965,4
TCONS_00161805,ENST00000639213.2,99.09,100.0,86.77,90.0,100.0,93.965,4
TCONS_00161805,ENST00000950302.1,99.3,100.0,85.25,91.28,100.0,93.95750000000001,4
TCONS_00161805,ENST00000962014.1,99.3,100.0,85.24,91.28,100.0,93.95500000000001,4
TCONS_00161805,ENST00000931470.1,99.3,100.0,85.21,91.28,100.0,93.94749999999999,4
TCONS_00161805,ENST00000648476.1,99.3,100.0,85.05,91.28,100.0,93.9075,4
TCONS_00161805,ENST00000267549.5,99.09,100.0,86.53,90.0,100.0,93.905,4
TCONS_00161805,ENST00000703767.1,99.3,100.0,85.03,91.28,100.0,93.9025,4
TCONS_00161805,ENST00000371121.5,99.3,100.0,85.01,91.28,100.0,93.89750000000001,4
TCONS_00161805,ENST00000677960.1,99.3,100.0,84.98,91.28,100.0,93.89000000000001,4
TCONS_00161805,ENST00000371123.5,99.3,100.0,84.98,91.28,100.0,93.89000000000001,4
TCONS_00161805,ENST00000939831.1,99.3,100.0,84.93,91.28,100.0,93.8775,4
TCONS_00161805,ENST00000427057.6,99.09,100.0,86.42,90.0,100.0,93.8775,4
TCONS_00161805,ENST00000562196.6,99.3,100.0,84.91,91.28,100.0,93.8725,4
TCONS_00161805,ENST00000931471.1,99.3,100.0,84.85,91.28,100.0,93.85749999999999,4
TCONS_00161805,ENST00000931469.1,99.3,100.0,84.8,91.28,100.0,93.845,4
TCONS_00161805,ENST00000639975.1,99.09,100.0,86.29,90.0,100.0,93.845,4
TCONS_00161805,ENST00000928468.1,99.3,100.0,84.79,91.28,100.0,93.8425,4
TCONS_00161805,ENST00000945459.1,99.3,100.0,84.77,91.28,100.0,93.8375,4
TCONS_00161805,ENST00000883433.1,99.09,100.0,86.26,90.0,100.0,93.8375,4
