lncrna,mrna,Decision_Tree(%),K-Nearest-Neighbours(%),Random_Forest(%),LightGBM(%),Cumulative_Model_Score(%),avg_score,models_ge80
TCONS_00125660,ENST00000867842.1,99.09,100.0,91.39,89.9,100.0,95.095,4
TCONS_00125660,ENST00000867841.1,99.09,100.0,91.39,89.9,100.0,95.095,4
TCONS_00125660,ENST00000360663.10,99.09,100.0,91.35,89.9,100.0,95.08500000000001,4
TCONS_00125660,ENST00000372059.6,99.09,100.0,91.19,90.0,100.0,95.07,4
TCONS_00125660,ENST00000466976.1,99.09,100.0,91.19,90.0,100.0,95.07,4
TCONS_00125660,ENST00000264734.3,99.09,100.0,91.19,90.0,100.0,95.07,4
TCONS_00125660,ENST00000928088.1,99.09,100.0,91.16,90.0,100.0,95.0625,4
TCONS_00125660,ENST00000688403.1,99.09,100.0,91.15,90.0,100.0,95.06,4
TCONS_00125660,ENST00000885952.1,99.09,100.0,91.21,89.9,100.0,95.05000000000001,4
TCONS_00125660,ENST00000880431.1,99.09,100.0,91.21,89.9,100.0,95.05000000000001,4
TCONS_00125660,ENST00000880429.1,99.09,100.0,91.21,89.9,100.0,95.05000000000001,4
TCONS_00125660,ENST00000361840.8,99.09,100.0,91.05,90.0,100.0,95.035,4
TCONS_00125660,ENST00000378195.6,99.09,100.0,91.05,90.0,100.0,95.035,4
TCONS_00125660,ENST00000706626.1,99.09,100.0,91.15,89.9,100.0,95.035,4
TCONS_00125660,ENST00000677385.1,99.09,100.0,91.14,89.9,100.0,95.0325,4
TCONS_00125660,ENST00000892425.1,99.09,100.0,91.04,90.0,100.0,95.0325,4
TCONS_00125660,ENST00000591844.5,99.09,100.0,91.13,89.9,100.0,95.03,4
TCONS_00125660,ENST00000261721.9,99.09,100.0,91.02,90.0,100.0,95.0275,4
TCONS_00125660,ENST00000476570.2,99.09,100.0,91.12,89.9,100.0,95.0275,4
TCONS_00125660,ENST00000690282.1,99.09,100.0,91.01,90.0,100.0,95.025,4
TCONS_00125660,ENST00000402314.6,99.09,100.0,91.01,90.0,100.0,95.025,4
TCONS_00125660,ENST00000882292.1,99.09,100.0,91.01,90.0,100.0,95.025,4
TCONS_00125660,ENST00000856288.1,99.09,100.0,91.04,89.9,100.0,95.0075,4
TCONS_00125660,ENST00000957823.1,99.09,100.0,90.93,90.0,100.0,95.005,4
TCONS_00125660,ENST00000901811.1,99.09,100.0,90.91,90.0,100.0,95.0,4
TCONS_00125660,ENST00000915166.1,99.09,100.0,90.98,89.9,100.0,94.9925,4
TCONS_00125660,ENST00000366690.5,99.09,100.0,90.88,90.0,100.0,94.9925,4
TCONS_00125660,ENST00000866587.1,99.09,100.0,90.88,90.0,100.0,94.9925,4
TCONS_00125660,ENST00000944298.1,99.09,100.0,90.88,90.0,100.0,94.9925,4
TCONS_00125660,ENST00000944299.1,99.09,100.0,90.88,90.0,100.0,94.9925,4
TCONS_00125660,ENST00000285311.8,99.09,100.0,90.97,89.9,100.0,94.99000000000001,4
TCONS_00125660,ENST00000937586.1,99.09,100.0,90.86,90.0,100.0,94.9875,4
TCONS_00125660,ENST00000924985.1,99.09,100.0,90.86,90.0,100.0,94.9875,4
TCONS_00125660,ENST00000943131.1,99.09,100.0,90.95,89.9,100.0,94.98500000000001,4
TCONS_00125660,ENST00000869004.1,99.09,100.0,90.85,90.0,100.0,94.985,4
TCONS_00125660,ENST00000867099.1,99.09,100.0,90.85,90.0,100.0,94.985,4
TCONS_00125660,ENST00000662562.2,99.09,100.0,90.83,90.0,100.0,94.98,4
TCONS_00125660,ENST00000391611.6,99.09,100.0,90.93,89.9,100.0,94.97999999999999,4
TCONS_00125660,ENST00000869005.1,99.09,100.0,90.82,90.0,100.0,94.97749999999999,4
TCONS_00125660,ENST00000949179.1,99.09,100.0,90.91,89.9,100.0,94.975,4
TCONS_00125660,ENST00000899599.1,99.09,100.0,90.8,90.0,100.0,94.9725,4
TCONS_00125660,ENST00000899597.1,99.09,100.0,90.89,89.9,100.0,94.97,4
TCONS_00125660,ENST00000695800.1,99.09,100.0,90.88,89.9,100.0,94.9675,4
TCONS_00125660,ENST00000881396.1,99.09,100.0,90.76,90.0,100.0,94.9625,4
TCONS_00125660,ENST00000930480.1,99.09,100.0,90.76,90.0,100.0,94.9625,4
TCONS_00125660,ENST00000394989.6,99.09,100.0,90.76,90.0,100.0,94.9625,4
TCONS_00125660,ENST00000881712.1,99.09,100.0,90.75,90.0,100.0,94.96000000000001,4
TCONS_00125660,ENST00000893053.1,99.09,100.0,90.84,89.9,100.0,94.95750000000001,4
TCONS_00125660,ENST00000885478.1,99.09,100.0,90.74,90.0,100.0,94.9575,4
TCONS_00125660,ENST00000930478.1,99.09,100.0,90.74,90.0,100.0,94.9575,4
