gene	kegg_gene_id	pathway_id	pathway_name
ABHD16A	hsa:7920	hsa00561	Glycerolipid metabolism - Homo sapiens (human)
ABHD16A	hsa:7920	hsa01100	Metabolic pathways - Homo sapiens (human)
AZIN2	hsa:113451	hsa00330	Arginine and proline metabolism - Homo sapiens (human)
AZIN2	hsa:113451	hsa01100	Metabolic pathways - Homo sapiens (human)
CERS4	hsa:79603	hsa00600	Sphingolipid metabolism - Homo sapiens (human)
CERS4	hsa:79603	hsa01100	Metabolic pathways - Homo sapiens (human)
CERS4	hsa:79603	hsa04071	Sphingolipid signaling pathway - Homo sapiens (human)
CLTCL1	hsa:8218	hsa04142	Lysosome - Homo sapiens (human)
CLTCL1	hsa:8218	hsa04144	Endocytosis - Homo sapiens (human)
CLTCL1	hsa:8218	hsa04721	Synaptic vesicle cycle - Homo sapiens (human)
CLTCL1	hsa:8218	hsa04961	Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)
CLTCL1	hsa:8218	hsa05016	Huntington disease - Homo sapiens (human)
CLTCL1	hsa:8218	hsa05100	Bacterial invasion of epithelial cells - Homo sapiens (human)
CTSF	hsa:8722	hsa04142	Lysosome - Homo sapiens (human)
CTSF	hsa:8722	hsa04210	Apoptosis - Homo sapiens (human)
GGT1	hsa:56886	hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)
HSD3B7	hsa:80270	hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)
HSD3B7	hsa:80270	hsa01100	Metabolic pathways - Homo sapiens (human)
IMPDH2	hsa:3615	hsa00230	Purine metabolism - Homo sapiens (human)
IMPDH2	hsa:3615	hsa00983	Drug metabolism - other enzymes - Homo sapiens (human)
IMPDH2	hsa:3615	hsa01100	Metabolic pathways - Homo sapiens (human)
IMPDH2	hsa:3615	hsa01232	Nucleotide metabolism - Homo sapiens (human)
MGLL	hsa:11343	hsa00561	Glycerolipid metabolism - Homo sapiens (human)
MGLL	hsa:11343	hsa01100	Metabolic pathways - Homo sapiens (human)
MGLL	hsa:11343	hsa04714	Thermogenesis - Homo sapiens (human)
MGLL	hsa:11343	hsa04723	Retrograde endocannabinoid signaling - Homo sapiens (human)
MGLL	hsa:11343	hsa04923	Regulation of lipolysis in adipocytes - Homo sapiens (human)
MVK	hsa:4598	hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)
MVK	hsa:4598	hsa01100	Metabolic pathways - Homo sapiens (human)
MVK	hsa:4598	hsa04146	Peroxisome - Homo sapiens (human)
MYBL2	hsa:4605	hsa04218	Cellular senescence - Homo sapiens (human)
NR1H3	hsa:10062	hsa03320	PPAR signaling pathway - Homo sapiens (human)
NR1H3	hsa:10062	hsa04148	Efferocytosis - Homo sapiens (human)
NR1H3	hsa:10062	hsa04931	Insulin resistance - Homo sapiens (human)
NR1H3	hsa:10062	hsa04932	Non-alcoholic fatty liver disease - Homo sapiens (human)
NR1H3	hsa:10062	hsa05160	Hepatitis C - Homo sapiens (human)
PCK2	hsa:5106	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)
PCK2	hsa:5106	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)
PCK2	hsa:5106	hsa00620	Pyruvate metabolism - Homo sapiens (human)
PCK2	hsa:5106	hsa01100	Metabolic pathways - Homo sapiens (human)
PCK2	hsa:5106	hsa03320	PPAR signaling pathway - Homo sapiens (human)
PCK2	hsa:5106	hsa04068	FoxO signaling pathway - Homo sapiens (human)
PCK2	hsa:5106	hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)
PCK2	hsa:5106	hsa04152	AMPK signaling pathway - Homo sapiens (human)
PCK2	hsa:5106	hsa04910	Insulin signaling pathway - Homo sapiens (human)
PCK2	hsa:5106	hsa04920	Adipocytokine signaling pathway - Homo sapiens (human)
PCK2	hsa:5106	hsa04922	Glucagon signaling pathway - Homo sapiens (human)
PCK2	hsa:5106	hsa04931	Insulin resistance - Homo sapiens (human)
PCK2	hsa:5106	hsa04964	Proximal tubule bicarbonate reclamation - Homo sapiens (human)
RAD51D	hsa:5892	hsa03440	Homologous recombination - Homo sapiens (human)
RDH8	hsa:50700	hsa00830	Retinol metabolism - Homo sapiens (human)
RDH8	hsa:50700	hsa01100	Metabolic pathways - Homo sapiens (human)
SHMT1	hsa:6470	hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human)
SHMT1	hsa:6470	hsa00630	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)
SHMT1	hsa:6470	hsa00670	One carbon pool by folate - Homo sapiens (human)
SHMT1	hsa:6470	hsa01100	Metabolic pathways - Homo sapiens (human)
SHMT1	hsa:6470	hsa01200	Carbon metabolism - Homo sapiens (human)
SHMT1	hsa:6470	hsa01230	Biosynthesis of amino acids - Homo sapiens (human)
SHMT1	hsa:6470	hsa01240	Biosynthesis of cofactors - Homo sapiens (human)
SHMT1	hsa:6470	hsa01523	Antifolate resistance - Homo sapiens (human)
SHMT1	hsa:6470	hsa04981	Folate transport and metabolism - Homo sapiens (human)
SIRT3	hsa:23410	hsa00760	Nicotinate and nicotinamide metabolism - Homo sapiens (human)
SIRT3	hsa:23410	hsa01100	Metabolic pathways - Homo sapiens (human)
SIRT3	hsa:23410	hsa05230	Central carbon metabolism in cancer - Homo sapiens (human)
TNNI1	hsa:7135	hsa04814	Motor proteins - Homo sapiens (human)
TNNI1	hsa:7135	hsa04820	Cytoskeleton in muscle cells - Homo sapiens (human)
WDR45	hsa:11152	hsa04140	Autophagy - animal - Homo sapiens (human)
