gene	kegg_gene_id	pathway_id	pathway_name
ABCB7	hsa:22	hsa02010	ABC transporters - Homo sapiens (human)
ABCD3	hsa:5825	hsa02010	ABC transporters - Homo sapiens (human)
ABCD3	hsa:5825	hsa04146	Peroxisome - Homo sapiens (human)
BMI1	hsa:648	hsa03083	Polycomb repressive complex - Homo sapiens (human)
BMI1	hsa:648	hsa04550	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)
BMI1	hsa:648	hsa05202	Transcriptional misregulation in cancer - Homo sapiens (human)
BMI1	hsa:648	hsa05206	MicroRNAs in cancer - Homo sapiens (human)
CEBPG	hsa:1054	hsa05152	Tuberculosis - Homo sapiens (human)
HERC4	hsa:26091	hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)
IDI1	hsa:3422	hsa00900	Terpenoid backbone biosynthesis - Homo sapiens (human)
IDI1	hsa:3422	hsa01100	Metabolic pathways - Homo sapiens (human)
MGAT4A	hsa:11320	hsa00510	N-Glycan biosynthesis - Homo sapiens (human)
MGAT4A	hsa:11320	hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)
MGAT4A	hsa:11320	hsa01100	Metabolic pathways - Homo sapiens (human)
NIPA2	hsa:729359	hsa03320	PPAR signaling pathway - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa00565	Ether lipid metabolism - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa01100	Metabolic pathways - Homo sapiens (human)
PLOD2	hsa:5352	hsa00310	Lysine degradation - Homo sapiens (human)
PLOD2	hsa:5352	hsa01100	Metabolic pathways - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04010	MAPK signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04020	Calcium signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04114	Oocyte meiosis - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04218	Cellular senescence - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04310	Wnt signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04360	Axon guidance - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04370	VEGF signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04380	Osteoclast differentiation - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04625	C-type lectin receptor signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04650	Natural killer cell mediated cytotoxicity - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04658	Th1 and Th2 cell differentiation - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04659	Th17 cell differentiation - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04660	T cell receptor signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04662	B cell receptor signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04720	Long-term potentiation - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04724	Glutamatergic synapse - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04728	Dopaminergic synapse - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04921	Oxytocin signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04922	Glucagon signaling pathway - Homo sapiens (human)
PPP3CB	hsa:5532	hsa04924	Renin secretion - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05010	Alzheimer disease - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05020	Prion disease - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05031	Amphetamine addiction - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05152	Tuberculosis - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05163	Human cytomegalovirus infection - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05166	Human T-cell leukemia virus 1 infection - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05170	Human immunodeficiency virus 1 infection - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)
PPP3CB	hsa:5532	hsa05417	Lipid and atherosclerosis - Homo sapiens (human)
SAMD8	hsa:142891	hsa00564	Glycerophospholipid metabolism - Homo sapiens (human)
SAMD8	hsa:142891	hsa00600	Sphingolipid metabolism - Homo sapiens (human)
SLC19A2	hsa:10560	hsa04977	Vitamin digestion and absorption - Homo sapiens (human)
