gene	kegg_gene_id	pathway_id	pathway_name
ABCB7	hsa:22	hsa02010	ABC transporters - Homo sapiens (human)
AP1S3	hsa:130340	hsa04142	Lysosome - Homo sapiens (human)
AP1S3	hsa:130340	hsa05170	Human immunodeficiency virus 1 infection - Homo sapiens (human)
B3GALNT2	hsa:148789	hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)
B3GALNT2	hsa:148789	hsa01100	Metabolic pathways - Homo sapiens (human)
CEBPG	hsa:1054	hsa05152	Tuberculosis - Homo sapiens (human)
CLDN16	hsa:10686	hsa03272	Virion - Hepatitis viruses - Homo sapiens (human)
CLDN16	hsa:10686	hsa04382	Cornified envelope formation - Homo sapiens (human)
CLDN16	hsa:10686	hsa04514	Cell adhesion molecules - Homo sapiens (human)
CLDN16	hsa:10686	hsa04530	Tight junction - Homo sapiens (human)
CLDN16	hsa:10686	hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)
CLDN16	hsa:10686	hsa05130	Pathogenic Escherichia coli infection - Homo sapiens (human)
CLDN16	hsa:10686	hsa05160	Hepatitis C - Homo sapiens (human)
CNOT6L	hsa:246175	hsa03018	RNA degradation - Homo sapiens (human)
CSTF2T	hsa:23283	hsa03015	mRNA surveillance pathway - Homo sapiens (human)
HERC4	hsa:26091	hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)
NIPA2	hsa:729359	hsa03320	PPAR signaling pathway - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa00565	Ether lipid metabolism - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa01100	Metabolic pathways - Homo sapiens (human)
RYK	hsa:6259	hsa04310	Wnt signaling pathway - Homo sapiens (human)
RYK	hsa:6259	hsa04360	Axon guidance - Homo sapiens (human)
SLC16A1	hsa:117247	hsa04081	Hormone signaling - Homo sapiens (human)
SLC16A1	hsa:117247	hsa04919	Thyroid hormone signaling pathway - Homo sapiens (human)
SLC16A1	hsa:117247	hsa04974	Protein digestion and absorption - Homo sapiens (human)
SLC19A2	hsa:10560	hsa04977	Vitamin digestion and absorption - Homo sapiens (human)
UBE2D3	hsa:7323	hsa03083	Polycomb repressive complex - Homo sapiens (human)
UBE2D3	hsa:7323	hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)
UBE2D3	hsa:7323	hsa04141	Protein processing in endoplasmic reticulum - Homo sapiens (human)
UBE2D3	hsa:7323	hsa05131	Shigellosis - Homo sapiens (human)
