gene	kegg_gene_id	pathway_id	pathway_name
ABCB7	hsa:22	hsa02010	ABC transporters - Homo sapiens (human)
ABCD3	hsa:5825	hsa02010	ABC transporters - Homo sapiens (human)
ABCD3	hsa:5825	hsa04146	Peroxisome - Homo sapiens (human)
B3GALNT2	hsa:148789	hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human)
B3GALNT2	hsa:148789	hsa01100	Metabolic pathways - Homo sapiens (human)
C9orf72	hsa:203228	hsa04140	Autophagy - animal - Homo sapiens (human)
C9orf72	hsa:203228	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
C9orf72	hsa:203228	hsa05022	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)
CEBPG	hsa:1054	hsa05152	Tuberculosis - Homo sapiens (human)
GNG2	hsa:54331	hsa04014	Ras signaling pathway - Homo sapiens (human)
GNG2	hsa:54331	hsa04062	Chemokine signaling pathway - Homo sapiens (human)
GNG2	hsa:54331	hsa04081	Hormone signaling - Homo sapiens (human)
GNG2	hsa:54331	hsa04082	Neuroactive ligand signaling - Homo sapiens (human)
GNG2	hsa:54331	hsa04151	PI3K-Akt signaling pathway - Homo sapiens (human)
GNG2	hsa:54331	hsa04371	Apelin signaling pathway - Homo sapiens (human)
GNG2	hsa:54331	hsa04713	Circadian entrainment - Homo sapiens (human)
GNG2	hsa:54331	hsa04723	Retrograde endocannabinoid signaling - Homo sapiens (human)
GNG2	hsa:54331	hsa04724	Glutamatergic synapse - Homo sapiens (human)
GNG2	hsa:54331	hsa04725	Cholinergic synapse - Homo sapiens (human)
GNG2	hsa:54331	hsa04726	Serotonergic synapse - Homo sapiens (human)
GNG2	hsa:54331	hsa04727	GABAergic synapse - Homo sapiens (human)
GNG2	hsa:54331	hsa04728	Dopaminergic synapse - Homo sapiens (human)
GNG2	hsa:54331	hsa04926	Relaxin signaling pathway - Homo sapiens (human)
GNG2	hsa:54331	hsa05032	Morphine addiction - Homo sapiens (human)
GNG2	hsa:54331	hsa05034	Alcoholism - Homo sapiens (human)
GNG2	hsa:54331	hsa05163	Human cytomegalovirus infection - Homo sapiens (human)
GNG2	hsa:54331	hsa05167	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)
GNG2	hsa:54331	hsa05170	Human immunodeficiency virus 1 infection - Homo sapiens (human)
GNG2	hsa:54331	hsa05200	Pathways in cancer - Homo sapiens (human)
HERC4	hsa:26091	hsa04120	Ubiquitin mediated proteolysis - Homo sapiens (human)
IL18R1	hsa:8809	hsa04060	Cytokine-cytokine receptor interaction - Homo sapiens (human)
IL18R1	hsa:8809	hsa04061	Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)
IL18R1	hsa:8809	hsa04668	TNF signaling pathway - Homo sapiens (human)
IL18R1	hsa:8809	hsa05321	Inflammatory bowel disease - Homo sapiens (human)
MGAT4A	hsa:11320	hsa00510	N-Glycan biosynthesis - Homo sapiens (human)
MGAT4A	hsa:11320	hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human)
MGAT4A	hsa:11320	hsa01100	Metabolic pathways - Homo sapiens (human)
NIPA2	hsa:729359	hsa03320	PPAR signaling pathway - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa00565	Ether lipid metabolism - Homo sapiens (human)
PAFAH1B2	hsa:5049	hsa01100	Metabolic pathways - Homo sapiens (human)
SEH1L	hsa:81929	hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)
SEH1L	hsa:81929	hsa04150	mTOR signaling pathway - Homo sapiens (human)
SEH1L	hsa:81929	hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)
SLC19A2	hsa:10560	hsa04977	Vitamin digestion and absorption - Homo sapiens (human)
VMP1	hsa:81671	hsa04140	Autophagy - animal - Homo sapiens (human)
XPO1	hsa:7514	hsa03008	Ribosome biogenesis in eukaryotes - Homo sapiens (human)
XPO1	hsa:7514	hsa03013	Nucleocytoplasmic transport - Homo sapiens (human)
XPO1	hsa:7514	hsa03250	Viral life cycle - HIV-1 - Homo sapiens (human)
XPO1	hsa:7514	hsa05164	Influenza A - Homo sapiens (human)
XPO1	hsa:7514	hsa05166	Human T-cell leukemia virus 1 infection - Homo sapiens (human)
