lncrna,mrna,gene_id,gene_name,Decision_Tree(%),K-Nearest-Neighbours(%),Random_Forest(%),LightGBM(%),Cumulative_Model_Score(%),avg_score,models_ge80
TCONS_00541561,ENST00000964520.1,ENSG00000136636,KCTD3,99.3,100.0,92.06,91.28,100.0,95.66,4
TCONS_00541561,ENST00000964521.1,ENSG00000136636,KCTD3,99.3,100.0,92.06,91.28,100.0,95.66,4
TCONS_00541561,ENST00000259154.9,ENSG00000136636,KCTD3,99.3,100.0,92.06,91.28,100.0,95.66,4
TCONS_00541561,ENST00000331173.6,ENSG00000177613,CSTF2T,99.3,100.0,91.9,91.28,100.0,95.62,4
TCONS_00541561,ENST00000903382.1,ENSG00000123983,ACSL3,99.3,100.0,91.73,91.28,100.0,95.57750000000001,4
TCONS_00541561,ENST00000922450.1,ENSG00000138071,ACTR2,99.3,100.0,91.64,91.28,100.0,95.555,4
TCONS_00541561,ENST00000905630.1,ENSG00000136636,KCTD3,99.3,100.0,91.56,91.28,100.0,95.535,4
TCONS_00541561,ENST00000905629.1,ENSG00000136636,KCTD3,99.3,100.0,91.56,91.28,100.0,95.535,4
TCONS_00541561,ENST00000857260.1,ENSG00000015171,ZMYND11,99.3,100.0,91.46,91.28,100.0,95.50999999999999,4
TCONS_00541561,ENST00000955377.1,ENSG00000123983,ACSL3,99.3,100.0,91.37,91.28,100.0,95.48750000000001,4
TCONS_00541561,ENST00000972242.1,ENSG00000015171,ZMYND11,99.3,100.0,91.37,91.28,100.0,95.48750000000001,4
TCONS_00541561,ENST00000914814.1,ENSG00000122376,SHLD2,99.3,100.0,91.34,91.28,100.0,95.47999999999999,4
TCONS_00541561,ENST00000943972.1,ENSG00000122376,SHLD2,99.3,100.0,91.34,91.28,100.0,95.47999999999999,4
TCONS_00541561,ENST00000914815.1,ENSG00000122376,SHLD2,99.3,100.0,91.34,91.28,100.0,95.47999999999999,4
TCONS_00541561,ENST00000914816.1,ENSG00000122376,SHLD2,99.3,100.0,91.34,91.28,100.0,95.47999999999999,4
TCONS_00541561,ENST00000935566.1,ENSG00000141429,GALNT1,99.3,100.0,91.32,91.28,100.0,95.475,4
TCONS_00541561,ENST00000857264.1,ENSG00000015171,ZMYND11,99.3,100.0,91.28,91.28,100.0,95.465,4
TCONS_00541561,ENST00000648476.1,ENSG00000127955,GNAI1,99.09,100.0,91.45,91.28,100.0,95.45500000000001,4
TCONS_00541561,ENST00000885038.1,ENSG00000087338,GMCL1,99.3,100.0,91.23,91.28,100.0,95.45250000000001,4
TCONS_00541561,ENST00000945185.1,ENSG00000163527,STT3B,99.3,100.0,91.22,91.28,100.0,95.44999999999999,4
TCONS_00541561,ENST00000945186.1,ENSG00000163527,STT3B,99.3,100.0,91.22,91.28,100.0,95.44999999999999,4
TCONS_00541561,ENST00000885796.1,ENSG00000143815,LBR,99.3,100.0,91.21,91.28,100.0,95.44749999999999,4
TCONS_00541561,ENST00000556095.5,ENSG00000100744,GSKIP,99.3,100.0,91.18,91.28,100.0,95.44,4
TCONS_00541561,ENST00000915226.1,ENSG00000100744,GSKIP,99.3,100.0,91.18,91.28,100.0,95.44,4
TCONS_00541561,ENST00000880427.1,ENSG00000138071,ACTR2,99.3,100.0,91.15,91.28,100.0,95.4325,4
TCONS_00541561,ENST00000857266.1,ENSG00000015171,ZMYND11,99.3,100.0,91.13,91.28,100.0,95.42750000000001,4
TCONS_00541561,ENST00000901806.1,ENSG00000203880,PCMTD2,99.3,100.0,91.11,91.28,100.0,95.42250000000001,4
TCONS_00541561,ENST00000912351.1,ENSG00000203880,PCMTD2,99.3,100.0,91.11,91.28,100.0,95.42250000000001,4
TCONS_00541561,ENST00000260641.10,ENSG00000138071,ACTR2,99.3,100.0,91.08,91.28,100.0,95.41499999999999,4
TCONS_00541561,ENST00000956969.1,ENSG00000126804,ZBTB1,99.3,100.0,91.08,91.28,100.0,95.41499999999999,4
TCONS_00541561,ENST00000880429.1,ENSG00000138071,ACTR2,99.3,100.0,91.08,91.28,100.0,95.41499999999999,4
